case_id,Sample,Rock_type,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Th_icpms,U_icpms,Rb_icpms,Cs_icpms,Nb_icpms,Ta_icpms,Pb_icpms,Ba_icpms,Sr_icpms,Zr_icpms,V_icpms,Hf_icpms,Longitude,Latitude,Age (Ma),Geologycal_age,Sample_type,Arc,Domain,Li_icpms,source_dataset,source_sample
A1015-29,A1015-29,Qz-diorite,60.01,0.91,17.04,,0.14,2.46,5.87,3.63,1.71,0.2,5.047,0.905,60.549,2.003,8.006,1.659,8.8,410.888,301.888,246.8,194.607,0.322,-72.56561111111111,-44.01986111111111,8.0,,,,,19.703,Castro et al. 2021 via andes_paleoelevation,A1015-29
A1015-30,A1015-30,Qz-diorite,60.95,0.66,17.66,,0.13,2.06,5.17,4.02,1.57,0.25,3.705,0.655,43.913,1.384,5.03,1.312,5.302,356.18,337.925,160.6,143.092,0.05,-72.66658333333334,-44.00438888888889,15.8,,,,,14.943,Castro et al. 2021 via andes_paleoelevation,A1015-30
A1015-38,A1015-38,Diorite,51.54,0.72,20.5,,0.13,5.96,10.15,2.9,0.22,0.07,0.305,0.085,5.279,0.307,3.03,1.581,2.583,92.898,468.715,21.1,214.254,0.56,-72.91847222222222,-43.88630555555556,15.9,,,,,7.119,Castro et al. 2021 via andes_paleoelevation,A1015-38
A1015-40,A1015-40,Diorite,47.8,1.29,19.33,,0.17,5.69,10.12,2.52,0.11,0.17,0.117,0.036,4.204,0.665,3.185,0.239,3.499,136.924,500.814,7.3,325.384,0.386,-72.94877777777778,-43.85033333333333,33.9,,,,,9.093,Castro et al. 2021 via andes_paleoelevation,A1015-40
A1015-21,A1015-21,Qz-diorite,55.27,1.1,18.27,,0.13,4.06,7.77,4.03,1.11,0.11,2.276,0.333,31.22,2.491,6.821,1.022,11.716,255.757,502.141,313.1,201.391,1.836,-70.90130555555555,-43.33141666666667,90.0,,,,,15.184,Castro et al. 2021 via andes_paleoelevation,A1015-21
A1015-22,A1015-22,Monzogranite,67.44,0.5,15.15,,0.08,1.55,3.06,3.38,3.63,0.12,13.656,2.686,130.445,7.317,5.28,0.544,25.276,507.475,291.902,187.2,129.856,1.413,-71.30369444444445,-43.48791666666666,107.0,,,,,28.191,Castro et al. 2021 via andes_paleoelevation,A1015-22
A1015-25,A1015-25,Monzogranite,72.12,0.29,14.63,,0.04,0.61,2.41,3.88,3.12,0.07,8.684,2.247,104.148,4.967,4.951,0.395,7.9,512.345,183.587,132.2,104.223,1.565,-72.05155555555555,-43.54038888888889,114.7,,,,,14.079,Castro et al. 2021 via andes_paleoelevation,A1015-25
A1015-28,A1015-28,Qz-diorite,55.46,0.88,17.03,,0.14,4.24,6.89,3.4,1.54,0.2,2.91,0.775,44.736,0.724,6.302,0.574,7.008,261.971,408.818,206.9,209.197,1.061,-72.46783333333333,-43.97522222222222,104.4,,,,,8.636,Castro et al. 2021 via andes_paleoelevation,A1015-28
PAL14-2,PAL14-2,Tonalite,62.2,0.86,16.22,,0.21,2.22,3.59,4.31,1.83,0.29,4.864,1.305,79.737,4.993,5.689,1.93,7.139,385.492,317.864,155.3,160.212,1.005,-72.01816666666667,-43.600833333333334,111.4,,,,,22.28,Castro et al. 2021 via andes_paleoelevation,PAL14-2
PAL14-15,PAL14-15,Diorite,48.46,1.1,19.63,,0.19,5.4,10.58,2.49,0.04,0.25,0.394,0.139,3.557,0.246,3.298,0.931,4.526,48.357,432.084,13.6,323.739,0.05,-72.30991666666667,-43.391533333333335,142.8,,,,,2.29,Castro et al. 2021 via andes_paleoelevation,PAL14-15
